f,l,l0
199.0,2.4159475160823862,-18.67185562177668
200.0,2.0613159594886543,-18.64858888942602
201.0,1.738769541028441,-18.624981238325883
202.0,1.4452265041024446,-18.601050533963413
203.0,1.177979233117217,-18.576813800171244
204.0,0.9346367636112165,-18.552287264135256
205.0,0.7130778371915987,-18.527486398535444
206.0,0.5114124229399408,-18.50242596103421
207.0,0.3279500096385624,-18.47712003131029
208.0,0.1611733122902355,-18.451582045817474
209.0,0.009716318646193342,-18.42582483043265
210.0,-0.12765417107318455,-18.399860631144314
211.0,-0.25205417794192975,-18.37370114291943
212.0,-0.3644958769627362,-18.347357536875204
213.0,-0.46589904368925095,-18.320840485872896
214.0,-0.5571009440716231,-18.29416018864023
215.0,-0.6388649298803594,-18.267326392521287
216.0,-0.7118879499148844,-18.240348414945025
217.0,-0.7768071464471672,-18.213235163695852
218.0,-0.8342056743971562,-18.185995156064145
219.0,-0.8846178555862101,-18.158636536948187
220.0,-0.928533760528347,-18.13116709597327
221.0,-0.9664032944132008,-18.103594283690313
222.0,-0.9986398512997392,-18.075925226909835
223.0,-1.0256235903766795,-18.048166743224613
224.0,-1.047704379916186,-18.020325354769703
225.0,-1.0652044478369158,-17.99240730126532
226.0,-1.0784207722809454,-17.96441855238512
227.0,-1.0876272410489027,-17.936364819488613
228.0,-1.093076604936313,-17.90825156675518
229.0,-1.095002246822567,-17.880084021753035
230.0,-1.0936197856650647,-17.85186718547539
231.0,-1.0891285322531528,-17.823605841873604
232.0,-1.081712811607564,-17.795304566914318
233.0,-1.0715431652134946,-17.766967737187713
234.0,-1.0587774448040286,-17.73859953808949
235.0,-1.0435618081282814,-17.71020397160081
236.0,-1.0260316260160405,-17.68178486368611
237.0,-1.0063123090638006,-17.65334587132918
238.0,-0.9845200613959657,-17.62489048922588
239.0,-0.9607625681835928,-17.59642205615091
240.0,-0.9351396229175488,-17.5679437610147
241.0,-0.9077436998222346,-17.539458648625857
242.0,-0.8786604762503056,-17.510969625173377
243.0,-0.8479693094098983,-17.48247946344165
244.0,-0.8157436713368977,-17.453990807771333
245.0,-0.7820515456295243,-17.425506178777233
246.0,-0.7469557891056458,-17.39702797783439
247.0,-0.7105144612205825,-17.36855849134298
248.0,-0.672781123789855,-17.340099894780728
249.0,-0.6338051132946886,-17.311654256552615
250.0,-0.5936317878040988,-17.283223541645903
251.0,-0.5523027503235353,-17.25480961509819
252.0,-0.5098560501737839,-17.226414245285923
253.0,-0.46632636381221493,-17.19803910703981
254.0,-0.42174515632989545,-17.169685784593792
255.0,-0.3761408246898496,-17.141355774372798
256.0,-0.3295388236123306,-17.11305048762516
