x1,y1,x2,y2,x3,y3,x4,y4
7.264201887333168e-05,0.0025630967605996505,2.647285101317019e-06,0.005343596921061948,5.586507369927413e-08,0.01054044359345831,6.793331159369419e-10,0.01968486295220874
9.435548010381487e-05,0.003131654866833598,3.690202977608458e-06,0.006524813690038801,8.422673759573273e-08,0.012835406012292378,1.1163766669856363e-09,0.02385741145027849
0.00012206438230201131,0.0038113343918875883,5.119579255701456e-06,0.007931328867206978,1.2628939787436428e-07,0.015550467130589548,1.8230516365724263e-09,0.02874954833163767
0.00015727363904670695,0.004620394512635863,7.068949923600664e-06,0.009597849300568327,1.8831848732600533e-07,0.018744337527881877,2.9583465894904304e-09,0.03444843247119608
0.0002018230196805844,0.005579363757345088,9.714364132080844e-06,0.011562694156433179,2.7927372543254076e-07,0.022480180509796152,4.770486442139223e-09,0.04104434786611749
0.00025795026903331327,0.006711179784686227,1.3286634613630346e-05,0.013867834048544036,4.1188903515136093e-07,0.026825218585789772,7.64436705300291e-09,0.04862932622786201
0.0003283633136618932,0.008041310359978788,1.808669152387914e-05,0.016558858910793537,6.041509452555804e-07,0.03185017391687415,1.2172714484936046e-08,0.057295504871440806
0.00041632220837907854,0.009597849300568284,2.450469335337645e-05,0.01968486295220874,8.813083472129745e-07,0.03762853226459551,1.926203750936566e-08,0.06713323602195405
0.0005257313672386,0.01141158073577568,3.3043647576178006e-05,0.023298235672643258,1.2785852817134101e-06,0.044235624721493796,3.0289200616683236e-08,0.07822897633525124
0.0006612424672738657,0.013516004739513804,4.434839680392476e-05,0.0274543490766991,1.844816566967883e-06,0.05174752725155781,4.7331054594686704e-08,0.09066299856882165
0.0008283682053389217,0.015947317280319312,5.9240930086196024e-05,0.032211132939161384,2.647285101317019e-06,0.06023978469381035,7.349865442858735e-08,0.1045069802867803
0.0010336068233385877,0.0187443375278818,7.876307916348172e-05,0.03762853226459539,3.778111151337291e-06,0.06978597319360315,1.1341997957740118e-07,0.1198215365064324
0.0012845769911206933,0.021948375887928157,0.00010422775016375642,0.04376784393905409,5.362629373654128e-06,0.08045612277007347,1.739317720034133e-07,0.13665377352149582
0.0015901622471684092,0.025603036734460627,0.00013727991526550062,0.050690932957339806,7.570290005855758e-06,0.09231502959117355,2.650633931166324e-07,0.15503494900490788
0.0019606637449780784,0.029753950689008938,0.00017996863761535358,0.05845933245890703,1.0628737507496971e-05,0.10542049514828172,4.0142502334015955e-07,0.17497832819923448
0.0024079595403149485,0.034448432471195965,0.00023483141626212193,0.06713323602195405,1.4841853240710703e-05,0.11982153650643274,6.041509452555771e-07,0.1964773269570998
0.002945668087239761,0.039735061813500686,0.000304992104741828,0.07677039512075652,2.0612697986124467e-05,0.1355566177461019,9.035982404493271e-07,0.2195040291764847
0.0035893129983109347,0.04566318668362006,0.00039427356487442246,0.08742493919023453,2.847245344928026e-05,0.15265195721012542,1.343064479000541e-06,0.24400815857621666
0.004356485480028366,0.05228235006513178,0.0005073260533113766,0.09914614018520645,3.911663615727789e-05,0.17111996786057415,1.9838676472623607e-06,0.2699165728102829
0.005267000195859064,0.05964164377231314,0.000649772089287119,0.11197714767410355,5.34500371156735e-05,0.190957888630173,2.912230589516055e-06,0.29713333192343927
0.006343039657702087,0.06778899516523917,0.0008283682053389256,0.12595372416380107,7.264201887333168e-05,0.21214666289907247,4.248533624416454e-06,0.32554037366649546
0.007609281628040004,0.07677039512075626,0.001051183527370159,0.14110301331037317,9.81939682094078e-05,0.23465011602184266,6.159645565636301e-06,0.3549988060242954
0.009093003458507606,0.0866290781258432,0.0013277945576852291,0.1574423757383377,0.00013202084461684337,0.25841447717241706,8.875217494667566e-06,0.38535080347713635
0.010824156828340547,0.09740466780479623,0.0016694948394352768,0.17497832819923448,0.00017654886617202156,0.2833682817962547,1.2709026815193463e-05,0.41642206918451585
0.012835406012292322,0.1091323034762764,0.002089517362969897,0.19370562161359095,0.00023483141626212347,0.3094226799199179,1.808669152387914e-05,0.44802480170000225
0.01516212263704564,0.12184176536275126,0.0026032666395771646,0.21360649206612353,0.00031068521516313215,0.33647216285403464,2.5581334468566634e-05,0.47996108325531445
0.0178423299121296,0.1355566177461015,0.0032285563288608826,0.23465011602184266,0.0004088486554407403,0.3643957069315432,3.5959060186353005e-05,0.5120265882724333
0.020916589577738964,0.1502933905869192,0.003985847183581086,0.25679229691775673,0.0005351639238577811,0.39305831843205025,5.0236404854140147e-05,0.5440144966024513
0.024427825325256447,0.16606082081853218,0.004898478900151255,0.2799754049393731,0.0006967840988232667,0.42231294939622804,6.975222085444376e-05,0.5757194868522325
0.02842107723814888,0.18285917462132573,0.005992888273484388,0.30412858535285003,0.0009024057965210346,0.45200274029644383,9.625674437795189e-05,0.6069416815679505
0.03294318288457805,0.20067967142792714,0.007298804900151804,0.3291682434300762,0.0011625271189867948,0.4819635331531955,0.00013202084461684234,0.6374904182049871
