x,p1,p2
-0.2386934673366834,-17.981868672014237,-102.121802885096
-0.23366834170854273,-17.983676207036293,-101.70529580359876
-0.228643216080402,-17.996393144779002,-102.92985781560917
-0.22361809045226128,-18.002375085350675,-104.46654209463823
-0.2185929648241206,-17.992514143727107,-103.17390455165577
-0.21356783919597988,-17.979974916333333,-101.1451215958975
-0.2085427135678392,-17.983130701168996,-100.77573476091362
-0.20351758793969849,-17.998422613263752,-102.45043670474001
-0.19849246231155776,-18.00217766338102,-104.62109188874891
-0.1934673366834171,-17.98291781852872,-102.46440959562086
-0.18844221105527637,-17.961285321487843,-99.78767182785757
-0.1834170854271357,-17.966192555336512,-99.30189632385739
-0.17839195979899497,-17.99281782987388,-101.33811089358437
-0.17336683417085424,-18.002492446285473,-104.37217242427928
-0.16834170854271358,-17.97312772915174,-101.06005834381816
-0.16331658291457285,-17.93616955181002,-97.70630750306998
-0.15829145728643218,-17.942993062509125,-97.09662528293208
-0.15326633165829145,-17.988278314065948,-99.61697849840549
-0.14824120603015073,-17.997678412515594,-104.28857548811807
-0.14321608040201006,-17.918433441851683,-98.34453731264497
-0.13819095477386933,-17.812340266371788,-94.05526389516442
-0.13316582914572866,-17.81919424086877,-93.11319612719589
-0.12814070351758794,-17.95454489126416,-95.99121291229409
-0.12311557788944721,-17.97279279887077,-103.20347996972309
-0.11809045226130654,-17.47337253746449,-91.2594929856105
-0.11306532663316582,-15.984265121057033,-85.18125177198955
-0.1080402010050251,-12.715103618643033,-81.83073018908514
-0.10301507537688442,-4.806865917422415,-80.0687663075457
-0.0979899497487437,-1.6135969172938598,-0.9484399341018551
-0.09296482412060303,-11.725801343092215,-80.13534912605117
-0.0879396984924623,-15.524683839684235,-81.97868098279582
-0.08291457286432158,-17.27808487819629,-85.45787615365734
-0.07788944723618091,-17.929952343923585,-91.85283573656827
-0.07286432160804018,-17.977877411629308,-104.52709209653223
-0.06783919597989951,-17.835158027962393,-95.62451899221557
-0.06281407035175879,-17.79296667153173,-92.97695856516006
-0.05778894472361806,-17.887858573656047,-94.06937883725757
-0.05276381909547739,-17.985818186969794,-98.54247282672023
-0.04773869346733667,-17.997425224234146,-104.39285253016642
-0.042713567839196,-17.954162363685956,-99.46027032703452
